""	"ASV1"	"ASV2"	"ASV3"	"ASV4"	"ASV5"	"ASV6"	"ASV7"	"ASV8"	"ASV9"	"ASV10"	"ASV11"	"ASV12"	"ASV13"	"ASV14"	"ASV15"	"ASV17"	"ASV18"	"ASV19"	"ASV20"	"ASV21"	"ASV22"	"ASV23"	"ASV24"	"ASV25"	"ASV26"	"ASV27"	"ASV28"	"ASV30"	"ASV31"	"ASV32"	"ASV34"	"ASV35"	"ASV36"	"ASV37"	"ASV38"	"ASV39"	"ASV40"	"ASV41"	"ASV42"	"ASV43"	"ASV44"	"ASV45"	"ASV46"	"ASV47"	"ASV48"	"ASV49"	"ASV50"	"ASV51"	"ASV52"	"ASV53"	"ASV54"	"ASV55"	"ASV56"	"ASV57"	"ASV58"	"ASV59"	"ASV60"	"ASV61"	"ASV62"	"ASV63"	"ASV64"	"ASV65"	"ASV66"	"ASV67"	"ASV68"	"ASV69"	"ASV70"	"ASV71"	"ASV72"	"ASV73"	"ASV74"	"ASV75"	"ASV76"	"ASV77"	"ASV78"	"ASV79"	"ASV80"	"ASV81"	"ASV82"	"ASV83"	"ASV84"	"ASV85"	"ASV86"	"ASV87"	"ASV88"	"ASV89"	"ASV90"	"ASV91"	"ASV92"	"ASV93"	"ASV94"	"ASV95"	"ASV96"	"ASV97"	"ASV98"	"ASV100"	"ASV101"	"ASV102"	"ASV103"	"ASV104"	"ASV105"	"ASV106"	"ASV107"	"ASV108"	"ASV109"	"ASV110"	"ASV112"	"ASV113"	"ASV114"	"ASV115"	"ASV116"	"ASV117"	"ASV118"	"ASV119"	"ASV120"	"ASV121"	"ASV122"	"ASV123"	"ASV124"	"ASV125"	"ASV126"	"ASV127"	"ASV128"	"ASV129"	"ASV130"	"ASV131"	"ASV132"	"ASV133"	"ASV134"	"ASV135"	"ASV136"	"ASV137"	"ASV138"	"ASV139"	"ASV140"	"ASV141"	"ASV142"	"ASV143"	"ASV144"	"ASV145"	"ASV146"	"ASV147"	"ASV148"	"ASV149"	"ASV150"	"ASV151"	"ASV152"	"ASV153"	"ASV154"	"ASV155"	"ASV156"	"ASV157"	"ASV158"	"ASV159"	"ASV160"	"ASV161"	"ASV162"	"ASV163"	"ASV165"	"ASV166"	"ASV167"	"ASV168"	"ASV169"	"ASV170"	"ASV171"	"ASV172"	"ASV173"	"ASV174"	"ASV175"	"ASV176"	"ASV177"	"ASV179"	"ASV180"	"ASV181"	"ASV182"	"ASV183"	"ASV184"	"ASV185"	"ASV186"	"ASV187"	"ASV188"	"ASV191"	"ASV192"	"ASV193"	"ASV194"	"ASV195"	"ASV196"	"ASV197"	"ASV198"	"ASV199"	"ASV201"	"ASV202"	"ASV203"	"ASV204"	"ASV205"	"ASV206"	"ASV207"	"ASV208"	"ASV209"	"ASV210"	"ASV211"	"ASV212"	"ASV213"	"ASV214"	"ASV215"	"ASV216"	"ASV217"	"ASV218"	"ASV219"	"ASV220"	"ASV221"	"ASV223"	"ASV224"	"ASV226"	"ASV227"	"ASV228"	"ASV229"	"ASV230"	"ASV231"	"ASV232"	"ASV233"	"ASV235"	"ASV236"	"ASV237"	"ASV239"	"ASV240"	"ASV242"	"ASV243"	"ASV244"	"ASV245"	"ASV248"	"ASV249"	"ASV250"	"ASV251"	"ASV252"	"ASV253"	"ASV254"	"ASV255"	"ASV257"	"ASV258"	"ASV259"	"ASV261"	"ASV262"	"ASV264"	"ASV265"	"ASV266"	"ASV268"	"ASV269"	"ASV270"	"ASV272"	"ASV273"	"ASV275"	"ASV276"	"ASV277"	"ASV278"	"ASV279"	"ASV280"	"ASV281"	"ASV282"	"ASV283"	"ASV284"	"ASV285"	"ASV286"	"ASV287"	"ASV289"	"ASV290"	"ASV291"	"ASV292"	"ASV294"	"ASV295"	"ASV296"	"ASV298"	"ASV299"	"ASV301"	"ASV302"	"ASV303"	"ASV304"	"ASV305"	"ASV309"	"ASV310"	"ASV311"	"ASV312"	"ASV313"	"ASV314"	"ASV316"	"ASV317"	"ASV319"	"ASV320"	"ASV321"	"ASV322"	"ASV323"	"ASV324"	"ASV325"	"ASV327"	"ASV328"	"ASV329"	"ASV332"	"ASV333"	"ASV334"	"ASV335"	"ASV336"	"ASV338"	"ASV340"	"ASV341"	"ASV343"	"ASV344"	"ASV345"	"ASV346"	"ASV349"	"ASV350"	"ASV351"	"ASV352"	"ASV353"	"ASV354"	"ASV356"	"ASV357"	"ASV359"	"ASV364"	"ASV365"	"ASV366"	"ASV367"	"ASV369"	"ASV375"	"ASV376"	"ASV377"	"ASV381"	"ASV383"	"ASV386"	"ASV388"	"ASV389"	"ASV390"	"ASV391"	"ASV394"	"ASV395"	"ASV398"	"ASV399"	"ASV400"	"ASV401"	"ASV403"	"ASV406"	"ASV407"	"ASV408"	"ASV414"	"ASV418"	"ASV419"	"ASV422"	"ASV427"	"ASV432"	"ASV433"	"ASV439"
"2D"	256	3145	7837	0	42	22	0	779	2314	1879	0	972	2622	1160	7	3260	311	392	729	163	0	168	158	0	218	10	0	14	2668	0	0	741	457	0	39	570	1450	0	162	1409	0	379	705	1191	815	1248	0	0	0	897	81	1134	28	14	0	619	124	552	7	783	0	241	49	0	10	0	0	0	286	392	9	1062	0	367	0	569	55	0	514	147	0	682	0	0	0	0	0	0	242	0	102	0	0	34	52	0	25	184	30	0	15	0	88	26	0	83	36	557	0	0	8	0	0	0	93	0	97	0	106	113	0	54	0	0	482	0	222	524	46	0	0	0	60	152	75	0	0	0	343	0	83	124	0	75	0	0	0	224	3	124	103	274	41	0	83	0	0	0	58	0	0	143	0	66	16	0	0	123	48	0	182	155	10	0	0	0	132	0	0	0	140	0	0	0	11	98	0	39	0	0	146	166	0	111	0	49	0	0	19	160	14	0	0	0	0	0	0	0	0	0	0	0	11	0	0	7	74	0	5	0	0	0	0	54	0	62	0	0	0	12	170	0	0	14	0	0	0	0	55	0	317	0	0	83	0	0	0	0	0	96	15	125	28	20	169	64	0	0	0	0	87	28	20	36	0	12	0	18	0	0	56	0	20	21	17	0	0	0	40	0	0	0	0	26	0	0	0	0	0	51	0	0	10	0	0	11	0	0	0	0	8	0	0	52	10	0	11	32	38	0	20	12	0	47	0	0	10	0	0	0	27	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	28	0	0	0	21	0	37	0	0	0	0
"3D"	2313	2453	0	74	5878	70	94	1000	1155	573	0	1873	592	784	35	545	781	369	197	51	0	192	0	0	473	25	0	13	0	0	0	73	0	0	0	340	994	0	266	0	0	133	162	93	150	0	0	0	7	334	104	0	0	9	278	250	260	132	0	120	0	58	0	0	0	0	8	0	670	66	0	0	0	0	0	294	45	0	78	225	13	355	13	0	0	0	9	0	0	0	56	729	0	0	39	0	30	124	859	0	0	1061	12	61	0	40	0	12	21	0	0	0	4	0	63	0	23	45	103	0	14	114	0	44	0	0	39	6	0	0	0	0	8	103	33	0	0	0	0	0	37	0	0	0	0	0	0	0	6	0	30	0	21	246	0	0	0	0	51	0	8	117	0	11	0	30	0	41	0	0	121	0	0	305	78	0	0	0	9	0	0	7	0	0	84	52	0	30	0	0	0	0	0	95	0	0	0	0	24	0	0	129	23	131	0	0	0	0	38	0	0	0	17	0	0	41	118	0	50	0	0	0	0	0	0	11	0	0	73	22	4	0	21	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	10	0	0	13	23	0	0	0	0	15	0	0	0	0	24	0	16	0	23	0	0	0	0	0	10	11	0	0	6	0	0	0	0	0	0	0	80	0	0	0	0	0	4	0	54	0	0	54	0	0	0	0	77	0	0	0	0	0	23	0	0	0	8	0	0	0	0	0	0	38	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	142	0	0	12	0	0	0	0	16	0	0	0	0	15	0	0
"4D"	0	417	45	98	0	58	0	4	173	0	0	0	170	0	40	331	527	37	556	292	0	269	0	19	722	30	114	0	139	0	38	427	948	283	35	219	0	22	439	0	0	247	232	40	515	0	16	0	27	77	179	9	0	19	0	40	111	251	0	0	0	79	0	0	0	0	0	21	0	181	15	0	18	0	0	0	0	0	204	36	0	0	17	0	0	0	0	9	0	0	191	0	0	0	62	18	124	38	173	0	19	0	0	0	0	142	108	0	36	0	18	0	5	0	44	0	163	127	0	123	0	252	0	0	0	0	50	0	80	0	0	11	58	114	76	0	24	0	0	0	14	0	14	489	0	0	0	0	0	0	90	0	81	0	0	0	20	0	0	0	0	0	0	67	0	20	65	0	123	0	0	135	88	0	0	0	18	158	16	19	0	9	0	0	143	90	0	34	0	0	0	0	11	24	0	60	0	0	51	0	0	0	0	0	0	0	0	252	77	0	0	0	92	0	50	18	0	0	0	0	0	0	0	116	0	128	99	0	51	60	0	0	0	50	4	0	0	0	0	0	0	10	0	5	141	0	70	0	0	0	0	55	0	14	0	0	0	0	54	0	127	37	56	26	0	0	139	33	0	50	98	0	68	29	62	157	0	26	156	235	0	0	0	35	0	51	17	0	11	53	18	13	11	34	0	25	0	0	0	43	54	0	0	85	90	205	18	39	0	0	0	58	0	28	0	19	100	24	0	0	29	0	29	0	0	0	0	14	0	62	50	0	0	0	0	0	0	0	40	0	0	34	43	50	0	20	0	73	35	36
"5D"	373	1215	0	79	126	52	0	636	534	1153	0	268	637	0	16	30	728	279	480	106	0	0	0	0	887	17	4247	55	36	0	18	743	114	0	31	98	263	0	281	0	0	1090	123	0	164	177	15	0	18	38	0	189	0	0	0	619	0	307	2	84	0	30	131	1922	0	0	0	21	0	119	0	0	0	0	0	136	0	0	27	151	17	17	0	0	0	0	0	0	0	0	253	0	0	0	35	0	32	0	0	0	15	0	0	0	0	30	0	65	0	9	0	0	0	0	39	0	15	35	132	0	49	68	0	783	0	0	273	38	35	0	0	0	32	10	60	731	0	0	46	0	105	353	0	0	0	0	7	0	0	0	41	0	18	0	0	0	34	0	129	0	0	167	0	3	167	28	0	0	0	0	40	0	10	95	414	0	29	0	78	0	0	0	0	0	0	16	0	35	104	0	32	116	0	107	0	105	0	5	18	223	0	0	0	0	0	0	0	0	40	0	0	0	20	185	0	0	0	0	0	9	0	0	0	0	0	24	25	0	121	0	0	0	107	0	0	0	0	0	0	0	0	7	0	15	0	35	0	0	0	30	227	0	43	0	0	177	0	250	0	0	0	31	10	18	0	18	0	68	30	13	0	0	0	0	0	0	0	9	0	0	0	0	234	17	0	0	0	24	0	0	0	0	0	78	0	0	0	0	0	0	0	107	0	0	0	0	0	23	13	0	59	0	0	58	0	0	5	0	0	0	0	158	139	0	0	0	0	0	0	0	0	164	173	0	0	0	0	0	30	62	0	8	0	12	0	0	0	65	0	0
"6D"	0	0	0	432	0	365	356	4	154	0	0	0	0	0	284	40	0	15	100	347	0	0	2386	30	0	140	0	0	0	0	216	0	353	0	157	290	105	99	0	0	163	0	0	0	69	0	41	89	16	0	121	0	0	58	0	0	129	0	11	36	0	0	0	0	50	0	14	59	0	0	71	0	67	0	46	0	0	66	64	0	57	11	36	49	0	0	30	42	0	0	65	0	0	0	199	0	119	0	0	38	42	0	0	0	65	43	129	12	0	34	56	0	48	0	0	0	66	196	0	0	784	107	0	0	0	0	55	0	58	0	0	17	38	0	115	0	0	71	0	34	21	27	0	54	27	595	30	0	14	92	52	0	139	0	71	0	0	0	0	0	0	0	0	6	21	16	0	0	25	0	0	0	72	60	0	40	96	0	0	0	0	18	0	164	34	42	0	0	0	0	19	31	15	0	327	74	54	9	34	0	0	0	0	0	0	0	0	0	70	0	395	0	56	101	67	0	0	372	31	20	366	0	0	39	0	0	0	26	95	0	0	0	0	26	0	28	0	0	0	321	0	7	38	0	84	0	42	15	0	0	0	20	39	141	0	8	0	0	37	29	0	54	25	12	261	45	0	0	0	0	0	13	0	48	35	0	246	7	14	0	235	14	0	32	231	14	0	24	121	27	0	15	46	0	0	15	160	24	210	12	25	0	0	0	0	0	0	0	0	0	0	0	84	39	0	14	54	31	0	0	0	9	0	26	0	178	0	51	0	0	61	0	0	4	26	0	36	24	70	74	26	31	51	0	37	26	0	0	0	20
"7D"	19	117	35	141	18	83	98	128	61	67	36	390	157	0	46	224	222	700	497	59	0	39	52	35	151	29	0	0	0	0	49	396	53	1212	0	293	0	25	420	0	0	303	217	28	0	0	0	0	17	0	34	8	0	17	0	0	39	0	0	49	1236	20	408	0	25	0	0	12	0	0	0	0	20	0	0	0	33	0	0	84	28	0	3	0	135	21	0	13	60	0	29	0	0	0	30	0	0	106	0	8	16	0	0	0	9	21	21	0	27	13	30	0	5	0	0	364	24	67	89	90	0	0	0	0	0	0	0	0	0	0	0	0	20	11	53	0	0	0	0	0	38	21	20	0	0	0	0	0	13	0	39	0	18	0	0	0	184	0	117	0	0	0	0	15	101	67	152	0	24	176	12	0	0	0	0	0	17	65	100	0	0	0	0	0	31	0	0	0	0	0	58	0	0	0	0	74	0	0	10	0	137	0	0	71	0	0	0	0	0	0	0	0	9	40	13	78	0	0	69	0	0	0	0	0	0	0	101	0	0	0	0	0	0	10	0	0	0	0	30	0	0	0	4	31	0	0	0	7	0	39	0	0	19	44	0	0	0	0	16	0	0	8	0	0	0	14	0	27	0	87	0	0	0	5	9	0	0	0	0	0	0	0	0	22	0	0	0	0	38	0	0	6	7	0	0	0	0	33	0	14	0	0	7	0	0	0	0	0	0	0	0	23	0	0	0	0	4	15	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	26	0	0	9	0	0	0	28	0	0	6	0
"8D"	2061	228	73	4	535	2	0	262	0	224	0	19	0	0	0	0	134	43	155	0	0	17	232	0	91	0	0	0	0	265	0	0	73	0	0	0	0	0	0	0	0	0	0	14	7	0	0	0	0	0	0	77	168	0	270	11	31	165	0	0	51	14	28	0	0	161	0	0	0	20	0	0	0	37	0	0	65	0	34	0	0	0	0	0	0	0	0	0	67	0	0	82	0	0	5	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	3	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	36	0	0	0	0	0	8	0	0	25	25	0	0	0	0	0	0	0	0	0	4	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"9D"	0	2545	390	0	0	0	39	1031	936	587	0	1088	0	2440	8	0	697	308	511	101	0	2906	0	8	359	0	0	130	125	0	15	0	0	0	0	416	0	0	239	0	0	443	855	87	0	0	0	0	0	19	49	0	0	11	0	292	1064	0	0	0	0	710	346	0	0	0	0	0	0	173	4	0	0	305	0	0	510	0	41	89	0	0	0	0	0	1099	0	6	0	0	32	0	0	0	38	0	38	304	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	309	18	0	52	0	0	0	0	0	0	0	0	0	0	0	203	21	0	0	537	0	0	65	0	0	0	0	57	0	0	2	0	21	0	20	25	257	0	0	529	40	0	0	0	0	12	0	9	0	161	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	390	0	0	0	0	0	0	10	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	17	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	19	0	0	4	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	23	0	0	7	0	0	0	0	127	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	6	11	0	0	0	0	0	0	0
"10D"	0	0	0	214	0	227	187	0	0	0	0	0	1561	0	107	0	22	0	781	141	0	148	0	70	0	56	0	0	0	0	95	0	0	0	89	0	268	42	375	90	74	84	0	882	324	0	39	0	28	81	66	0	0	42	0	0	0	0	8	107	0	0	0	0	35	41	0	25	0	36	30	0	23	0	0	0	21	33	0	35	36	0	19	20	0	0	25	23	0	0	189	0	0	0	30	1090	629	56	31	0	10	0	0	11	17	348	571	0	0	20	31	816	10	0	0	0	262	46	0	156	0	50	0	0	0	0	58	0	475	14	0	0	284	0	49	0	658	0	0	0	0	0	25	0	0	0	0	0	12	243	90	0	0	19	0	0	0	0	0	0	18	111	0	241	0	110	0	0	0	0	72	25	0	0	0	0	14	145	6	0	0	12	0	0	23	23	0	237	180	0	40	23	0	0	0	0	0	0	128	0	0	127	0	87	0	0	0	0	139	0	0	0	105	56	174	37	0	0	0	0	0	324	248	0	351	62	43	0	0	151	0	245	176	193	0	0	0	322	106	0	0	0	17	87	0	248	73	0	0	0	0	26	26	0	0	0	0	0	37	0	0	27	108	50	0	20	0	0	42	0	27	0	44	48	78	0	0	147	0	0	0	4	0	56	0	0	174	156	0	0	188	14	95	0	0	113	0	0	0	97	110	0	0	0	76	0	142	45	0	0	38	35	13	0	0	132	4	110	78	0	121	0	0	0	124	0	0	0	160	88	58	0	0	0	0	103	27	66	0	0	121	67	38	55	45	44	0	0	111	65
"1H"	0	0	0	366	0	278	300	0	0	0	155	0	0	0	247	0	0	0	0	86	0	0	0	103	0	143	0	284	0	0	194	0	0	0	83	0	0	122	0	0	94	0	0	0	0	0	64	94	52	0	27	0	0	93	0	0	0	0	60	0	0	0	0	0	36	0	21	45	0	0	38	0	73	0	0	0	0	42	0	0	62	0	58	29	0	0	35	50	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	30	22	0	0	0	0	42	47	0	39	140	0	0	0	0	0	0	0	0	195	0	0	0	0	0	0	0	68	29	0	0	0	0	0	0	0	0	0	0	25	0	44	0	34	0	34	0	0	0	15	0	0	24	0	0	0	134	16	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	10	0	6	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	42	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	7	15	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
"2H"	0	0	0	211	0	192	175	0	0	0	41	0	0	0	115	0	0	0	0	0	0	0	0	52	0	62	0	0	0	0	74	0	0	0	85	0	0	31	0	0	75	0	0	0	0	0	39	76	42	0	0	0	0	38	0	0	0	0	41	0	0	0	0	0	33	0	16	9	0	0	24	0	27	0	12	0	0	26	0	0	0	0	11	0	0	0	17	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	20	9	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"3H"	0	0	41	238	0	211	209	0	0	0	122	0	0	0	84	0	0	0	0	69	0	0	0	45	0	93	0	167	0	0	108	0	0	0	0	0	0	49	0	0	68	0	0	0	0	0	33	56	43	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	30	0	27	0	0	0	32	0	0	0	0	0	0	32	0	0	20	0	20	19	0	0	27	37	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	63	26	0	0	0	146	10	0	0	7	414	0	0	0	0	0	0	0	0	343	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	22	0	14	0	0	0	0	0	0	0	0	0	0	188	16	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4H"	6	0	0	1932	0	1285	1483	0	0	0	135	0	0	0	1093	13	0	0	0	123	8	0	0	368	0	551	0	17	0	0	531	0	0	0	733	0	0	292	0	0	669	0	0	0	0	0	258	425	269	0	70	0	0	359	0	0	0	0	26	0	0	0	0	0	273	0	128	219	0	0	255	0	142	0	76	0	0	230	0	0	222	0	170	195	0	0	136	155	0	0	0	0	128	0	69	0	0	0	0	121	43	0	0	12	132	0	0	0	0	187	109	0	103	124	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	112	175	136	0	0	0	0	0	0	0	0	0	0	143	0	141	0	69	0	82	0	0	0	9	0	0	51	0	0	0	103	100	0	83	0	0	0	0	0	0	0	0	0	18	0	0	112	0	0	0	16	0	36	155	0	0	0	0	0	0	0	0	0	0	0	0	0	23	23	0	0	0	0	81	0	135	55	65	98	0	0	0	27	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	50	0	0	0	0	0	0	54	85	0	0	0	0	0	26	24	0	0	0	0	33	0	0	0	0	0	0	0	0	115	0	0	65	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	62	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	109	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0
"5H"	0	0	0	288	0	211	219	0	0	0	74	0	0	0	153	0	0	0	0	86	0	0	0	87	0	90	0	200	0	0	131	0	0	0	102	0	0	68	0	0	78	0	0	0	0	0	56	64	47	0	0	0	0	87	0	0	0	0	23	0	0	0	0	0	55	0	15	38	0	6	36	0	39	0	0	0	0	51	0	0	49	0	22	45	2	0	28	35	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	11	17	0	0	0	0	21	36	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	33	0	23	0	15	0	0	0	7	0	0	31	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	24	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"6H.2"	0	0	0	3305	0	2106	2349	0	0	0	8	0	0	0	1762	0	0	0	0	180	0	0	0	462	0	758	0	165	0	0	879	0	0	0	1128	0	0	374	0	0	1163	0	0	0	0	0	395	554	481	0	88	0	0	663	0	0	0	0	235	0	0	0	0	0	431	0	215	320	0	0	314	0	265	0	93	0	0	345	0	0	528	0	340	294	0	0	266	198	0	0	0	0	251	0	108	0	0	0	0	161	103	0	0	0	277	0	0	0	0	206	200	0	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	219	231	0	0	0	0	0	0	0	0	0	0	147	0	134	0	119	0	161	22	0	0	30	0	0	102	0	0	0	0	160	0	86	0	0	0	0	0	0	0	0	0	24	0	0	173	8	0	0	42	0	63	171	0	0	0	0	0	0	0	0	0	70	0	0	0	68	54	0	0	0	0	207	0	149	118	91	48	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	87	0	0	0	0	0	0	83	126	0	0	0	0	0	39	75	0	0	0	0	143	0	0	0	0	0	0	0	0	154	0	0	60	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	29	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0
"6H.1"	0	0	0	169	0	77	139	0	0	0	0	0	0	0	68	0	0	0	0	66	0	0	0	29	0	36	0	235	0	0	56	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	16	0	44	0	0	13	0	0	0	0	28	0	0	0	0	0	26	0	0	11	0	0	25	0	0	0	0	0	0	40	0	0	20	0	8	0	0	0	0	10	0	0	0	0	0	0	13	0	0	0	0	0	6	0	0	0	14	0	0	0	0	0	0	0	12	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	10	0	15	0	0	0	0	0	0	0	12	0	12	0	8	0	0	52	7	0	19	0	0	0	0	0	0	0	18	0	0	5	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	14	0	25	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
