""	"taxon"	"lfc_(Intercept)"	"lfc_fractionRNA"	"lfc_typeafter"	"se_(Intercept)"	"se_fractionRNA"	"se_typeafter"	"W_(Intercept)"	"W_fractionRNA"	"W_typeafter"	"p_(Intercept)"	"p_fractionRNA"	"p_typeafter"	"q_(Intercept)"	"q_fractionRNA"	"q_typeafter"	"diff_(Intercept)"	"diff_fractionRNA"	"diff_typeafter"	"passed_ss_(Intercept)"	"passed_ss_fractionRNA"	"passed_ss_typeafter"
"11"	"Cyanobacteriales"	-1.28812990355792	2.04387512418789	0.480213318551496	0.225001256107424	0.265298747040872	0.271302242308695	-5.72498983269195	7.70405117621235	1.77003077624805	0.000133186610178436	9.33077160328945e-06	0.104396705175165	0.0129191011873083	0.000951738703535524	1	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE
"12"	"Rhodospirillales"	0.57122857071846	-1.11684599586323	0.475740700287696	0.157347132380111	0.343102429277413	0.317361449012013	3.63037166345374	-3.25513870075285	1.49905006348042	0.0012714445295529	0.00324522795203637	0.146383396042174	0.116972896718866	0.275844375923091	1	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"13"	"Burkholderiales"	-2.37954520445108	3.56383994588198	0.332194473091659	0.26486364685584	0.455056114734803	0.410044332406565	-8.98403851452753	7.83164939550126	0.810142823196695	6.14366305736878e-07	2.82028396864578e-06	0.432438536087897	6.26653631851615e-05	0.000290489248770515	1	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE
"14"	"Blastocatellales"	0.473259351806249	-1.29134750554178	0.80533893572449	0.410423230471558	0.486863408217736	0.472742108475278	1.15310079125515	-2.65238151757806	1.70354813181742	0.26071234934055	0.0142323347296292	0.101941885062517	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE
"15"	"Verrucomicrobiales"	0.222259325060776	-0.516016273770744	0.394090830690032	0.176822065836221	0.366307151295007	0.419771489815961	1.25696600144147	-1.40869833402506	0.938822288437958	0.224832501217682	0.175964472210432	0.360250072504681	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"16"	"Puniceispirillales"	0.747434378728561	-0.441971885055294	-0.666519805111131	0.244863154709287	0.362445374807519	0.342744243972118	3.05245752312531	-1.21941654046491	-1.94465645108063	0.00532127539340214	0.234066481938954	0.0631485042307516	0.436344582258976	1	1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
"17"	"Desulfovibrionales"	-0.878437709332085	1.36141771479737	0.578751746524536	0.108244240701479	0.247035682408301	0.262420320892396	-8.11532977310714	5.51101647148776	2.20543799564154	8.317868899877e-05	0.000896027914317191	0.0632215074335876	0.00815151152187946	0.084226623945816	1	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
"18"	"Campylobacterales"	0.24024593987748	0.469080174892926	-0.609794552778658	0.225065312934475	0.392473985239961	0.377901682853102	1.06744987375031	1.19518794247249	-1.61363280569379	0.297887027090507	0.245337024240302	0.121534161059458	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE
"19"	"Rickettsiales"	0.922429773090418	-0.315071120263981	-1.2487886603935	0.322590191696211	0.418987640906535	0.419475414897171	2.85944767334738	-0.751981895175436	-2.97702467425803	0.0088674778792482	0.459688792266167	0.00674406616519034	0.700530752460608	1	0.627198153362702	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
"20"	"Sphingobacteriales"	0.448371318790441	-1.00751277019763	0.349366590101497	0.13115892560159	0.267895896860063	0.259329081178735	3.41853455061397	-3.76083688479897	1.34719403050947	0.00258313172586842	0.0011492744717265	0.192275842214244	0.222149328424684	0.106882525870565	1	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"21"	"Phycisphaerales"	0.459901253176782	-0.988404162093293	0.0496952212856962	0.117832380296922	0.212720857651218	0.227072159280342	3.90301249977208	-4.64648447268816	0.218852110462131	0.000956207851988181	0.000175955139901366	0.829098964644348	0.089883538086889	0.0168916934305311	1	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE
"22"	"Polyangiales"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
"23"	"Bacteria"	-0.103445030770106	1.29181407453929	-0.774059091485864	0.297143861339508	0.434295306651917	0.402729357474167	-0.348131138579748	2.97450618220625	-1.92203294127997	0.731207263434634	0.00723062216447491	0.0682742759862746	1	0.578449773157993	1	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE
"24"	"Cytophagales"	-0.337500287998213	0.483508727198455	0.839497107044246	0.274805133751444	0.39702013461162	0.415113651843419	-1.22814404298384	1.21784434855285	2.02233076006111	0.231813149226224	0.235629945914698	0.0549217712373968	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"25"	"MBMPE27"	0.637314752989005	-1.07804369306094	-0.164789958854109	0.267966490332886	0.331553704177858	0.317590187928853	2.37833750107071	-3.25149042063677	-0.518876102340498	0.038722169627631	0.00869851769798089	0.61513486317136	1	0.678484380442509	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"26"	"Fusobacteriales"	0.0434551634377869	-0.039574364880791	-0.321570833405263	0.302080421859272	0.344180877238691	0.321846464297132	0.143852961970607	-0.114981300525148	-0.99914359509131	0.888218134641209	0.910531975088857	0.339197172205892	1	1	1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
"27"	"Balneolales"	0.458873064168013	-0.443841839918608	-0.0587674471036973	0.162783837016607	0.259655196478053	0.264859491757507	2.81891048016763	-1.70935088509243	-0.221881597347102	0.00950202124766022	0.100287238898863	0.826283243870794	0.741157657317497	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"28"	"Eurycoccales"	-0.406113397445692	-0.388316951126667	0.742701732633446	0.0865538440074886	0.191507387879959	0.206529830913391	-4.6920319034075	-2.02768653170745	3.59609906883089	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"29"	"Caulobacterales"	-0.204369136067105	0.627105311166022	0.317747140234685	0.127543455041451	0.20095852346199	0.21455425892506	-1.60234906605507	3.12057085393861	1.48096403132071	0.140160756917815	0.0108634161162836	0.169421965557162	1	0.803892792604983	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"30"	"Marinimicrobia (SAR406 clade)"	0.454348705993536	-0.573033106375822	-0.127795299948479	0.140579546646831	0.260401592339995	0.26586108231696	3.23196878088507	-2.2005745096506	-0.48068449445384	0.00438790474791105	0.0403343530174319	0.636229194256086	0.368583998824528	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"31"	"Alphaproteobacteria"	-0.0539588114173941	0.224843508621194	-0.0336324187448136	0.265116202244736	0.312051050021664	0.312356809745387	-0.203528909061481	0.720534376043869	-0.107673076736277	0.841457015783921	0.482274765096391	0.915682035830366	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"32"	"Pirellulales"	0.210629342795703	-0.959221144946953	0.365844119294532	0.159695653826139	0.249355265543988	0.252037148279059	1.31894223636803	-3.84680525135228	1.45154839987899	0.206970413485937	0.00158422530113795	0.167220521147555	1	0.138523601766501	1	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"33"	"Rhizobiales"	-0.618293759282639	1.54660971672015	0.0649142513970381	0.179994579317858	0.301161297582078	0.315780979637442	-3.43506877610339	5.13548629633807	0.205567325402462	0.0023646824958209	3.79718487649628e-05	0.83901917665924	0.205727377136418	0.00379718487649628	1	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE
"34"	"Francisellales"	0.543716881643084	-0.481382210326639	-0.709598240793216	0.392619663664143	0.41342009686027	0.42268781102642	1.38484373545843	-1.16438996067804	-1.67877620854523	0.184007017924648	0.260347014645646	0.111480735772032	1	1	1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
"35"	"Steroidobacterales"	-0.0920911935340499	-0.0631959620789494	0.753296876340663	0.121312875120064	0.20590437296477	0.219488839579898	-0.759121350004334	-0.306918989475576	3.43205093153016	0.482013340471178	0.771275932468511	0.0185942956916146	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"36"	"Parvibaculales"	0.349745736086875	-0.140131533674885	-0.576659152512978	0.179747715453647	0.285333027111368	0.286272517720676	1.94575900563848	-0.49111571518214	-2.01437133087166	0.0674695199085631	0.629278904228339	0.0591615183045555	1	1	1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
"37"	"Bradymonadales"	-0.210045594718193	0.0728594548371207	0.7804070645816	0.192004406591719	0.243419142357717	0.253566662438789	-1.09396236496195	0.299316866091205	3.07771951200403	0.290168113339493	0.768551354944907	0.00720843635361467	1	1	0.66317614453255	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
"38"	"Staphylococcales"	-0.482241859562891	0.708558613742494	0.748938330741826	0.235908921227953	0.328822769732913	0.336734586484656	-2.04418661682113	2.15483439397467	2.22412060062014	0.0543265480216078	0.0435421902851836	0.0378191832509302	1	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
"39"	"Pedosphaerales"	0.116119995971928	0.438866141846212	-0.255574995824872	0.214850986164426	0.289818901636983	0.297939821611486	0.540467595913482	1.51427715503498	-0.857807440584907	0.594304644983295	0.144191235955782	0.400247770948663	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"40"	"Opitutales"	0.0398147227451345	-0.36132163054527	0.57634425316104	0.213171345469782	0.285200480579486	0.298208213864853	0.186773333242288	-1.26690400314584	1.93269073876764	0.853630966251576	0.219060715101774	0.0668735829618955	1	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
"41"	"Chitinophagales"	0.274642280493819	-0.115587490758271	-0.0830175943263529	0.174061487502366	0.267729720922907	0.270011868046133	1.57784633714615	-0.431732010774979	-0.30745905699289	0.129546713077781	0.670336366263126	0.761522413073039	1	1	1	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
"42"	"Lentisphaerales"	-0.0432641162571497	0.209158451533951	0.593574107906247	0.132553081544322	0.216533238889291	0.233292026699076	-0.326390874909109	0.965941546003889	2.54433945430934	0.755213099147514	0.371377079727391	0.0438237192671899	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"43"	"Phormidesmiales"	-0.847089251912208	1.84252394692784	-0.821570589949517	0.274395952236053	0.327410330066239	0.314524054351058	-3.08710549484887	5.62756815447782	-2.61210733673335	0.0214671035440132	0.00134633810510233	0.0400072142774869	1	0.122516767564312	1	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
"44"	"Cyanobacteriia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"45"	"Desulfobulbales"	0.283611223009849	0.149571681942504	-0.566431649401549	0.135608599986295	0.23103150166217	0.241071275888841	2.09139555336838	0.647408171034692	-2.34964388566447	0.0698662885023459	0.535499787187294	0.0467072147166917	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"46"	"Nitrosococcales"	0.00348288015517873	0.604134359220724	-0.250570646588775	0.35683258112212	0.4144510926682	0.393090631893829	0.0097605441303208	1.45767346234114	-0.637437339530525	0.992350060529358	0.166995596771257	0.534126599552315	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"47"	"Marine Group II"	0.304176985895193	-0.706604290884224	-0.136174456621382	0.247037050554751	0.319935169401774	0.326874084693808	1.23130107492835	-2.2085858588334	-0.416596062514227	0.241796627955079	0.0474006459169955	0.684328800363661	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"48"	"Xanthomonadales"	-2.13765043692646	1.25851135300474	2.43223214422483	0.131301270626036	0.308847297318427	0.320760505949796	-16.2805007654098	4.07486600637855	7.58270453846183	1.59429241178176e-05	0.00958803325550804	0.000633109843462275	0.00159429241178176	0.725742871867477	0.0652103138766143	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE
"49"	"Kiritimatiellales"	0.191986205101059	-0.0225788830585619	-0.0487936746992811	0.194882545328869	0.262048468695838	0.280115451818234	0.985138021350641	-0.0861630032449051	-0.174191299989203	0.337614042563875	0.932288060458971	0.863659284625167	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"50"	"Gammaproteobacteria"	-0.139613537772461	0.397025454565564	0.168386813677489	0.145315317373804	0.313983426653224	0.300146098981408	-0.960762707576958	1.26447901660763	0.561016165956964	0.351903927730479	0.225352985527688	0.583070893827828	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"51"	"NB1-j"	-1.1654310859099	1.61772369149495	2.44917603973154	0.119538558203919	0.211328591049743	0.218640070963921	-9.74941561468228	7.65501574329886	11.2018626271654	0.00229258907035248	0.00462993922486578	0.0015250309176716	0.204040427261371	0.38428495566386	0.15250309176716	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"52"	"Corynebacteriales"	-0.852259297793821	0.818461084223269	1.44353775963937	0.127455589712106	0.280812675617493	0.273967259746075	-6.6867157393323	2.91461588200574	5.26901557863997	0.00113089370268255	0.0332209301779689	0.00327443438885886	0.105173114349477	1	0.320894570108168	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"53"	"Chromatiales"	-0.751858450169197	0.807387586101842	0.122864352660883	0.127168276241544	0.197937781362506	0.2088569370656	-5.91231140651081	4.07899684711117	0.58827039401757	0.00197167043210918	0.00954924831404575	0.581917420021048	0.177450338889826	0.725742871867477	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"54"	"JGI 0000069-P22"	0.0260495451832794	-0.0685895689313967	-0.18479264213199	0.293020581136598	0.371006903695253	0.341414413254736	0.0889000529663678	-0.184874104088738	-0.541256124398335	0.930916575464446	0.85702340974516	0.600180520868911	1	1	1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
"55"	"Kiloniellales"	-1.03819528678588	1.49534969129774	NA	0.19898327934209	0.230650983221451	NA	-5.21750013477778	6.48317067810649	NA	0.120554263136064	0.0974279285667399	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"56"	"BD7-11"	-0.186385305641798	0.320424909755264	-0.0536745850732662	0.235580848568266	0.252763965606295	0.253460493324268	-0.791173419972583	1.2676842958476	-0.211767066217286	0.464700652882609	0.260737788449663	0.840650266541827	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"57"	"Bdellovibrionales"	0.25763977747428	-0.376641718978791	-0.626478805636137	0.144445949423843	0.216825664174997	0.23117791589869	1.78364141398175	-1.7370716718977	-2.70994226762854	0.0961657240355518	0.10431416152431	0.0169238242366204	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"58"	"Micrococcales"	-0.688630508877984	0.973027138290074	0.852610311594879	0.139583176840416	0.279714097348534	0.301466131540377	-4.93347783354499	3.47864890441202	2.82821259966539	0.000809460991426565	0.00695334215506118	0.0197800307632039	0.0768987941855236	0.563220714559956	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"59"	"Oligoflexales"	0.0736013766770458	0.0768989956346291	0.101355300116538	0.153282308181832	0.247915372596618	0.266246331096553	0.480168765398129	0.310182441811509	0.380682429309352	0.63760616853907	0.760425971247253	0.708445754836796	1	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
"60"	"Pla4 lineage"	-0.716583431026721	0.852272008730857	0.927098158269152	0.0865384992225293	0.190475105268135	0.205315759677843	-8.28051604158357	4.47445353833037	4.51547489449345	0.0765111365576766	0.139978472686785	0.138746883091755	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"61"	"Gammaproteobacteria Incertae Sedis"	-0.879601589699956	1.48652895078126	1.13162596255614	0.093090251481147	0.192020809508619	0.207845334127114	-9.44891195055044	7.74149923951099	5.44455793202491	0.000699635387678728	0.00149975754386683	0.00552633896964097	0.0671649972171579	0.133478421404148	0.525002202115893	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"62"	"Bacteroidia"	-0.643120338681956	0.389916899928119	1.49247536845684	0.126321429404929	0.289460666435892	0.290387943398616	-5.09114203117828	1.34704623163187	5.13959137211186	0.00141337372764096	0.219940524616943	0.00133934365628418	0.128617009215328	1	0.135273709284702	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"63"	"OM190"	-0.425812732891759	0.486944264454288	0.532349469503826	0.141183009386335	0.245437363787516	0.248181729521223	-3.01603383255956	1.98398588112221	2.14499862874999	0.0117386123109437	0.0727716762031773	0.055124275179334	0.903873147942664	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"64"	"PB19"	-0.754742996036994	1.00175460776196	1.17984075431319	0.111350190564062	0.224539499943203	0.245901852227545	-6.77810241916716	4.46137364702135	4.79801491377714	8.10315167242186e-05	0.00157413183825569	0.000976418189989583	0.00802212015569764	0.138523601766501	0.0995946553789374	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE
"65"	"Desulfobacterales"	-0.194663675583736	0.815994099349073	0.274669129131316	0.240371420773579	0.270665806938785	0.284861729368064	-0.809845342500604	3.01476610059438	0.964219130946935	0.436875676743241	0.0130112527412328	0.357673740218652	1	0.949821450109993	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"66"	"Bacteriovoracales"	0.000137273922329733	0.186237910159761	0.14058763292605	0.15708851107981	0.213067306826699	0.227039684328748	0.00087386353964479	0.874080181204147	0.619220526762546	0.999318404435581	0.400755321744635	0.548381165798827	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"67"	"SAR324 clade(Marine group B)"	-0.683673096739705	0.831215151698373	0.570036516693877	0.161834385277701	0.233630558128918	0.246613510925724	-4.2245230861572	3.55781862764591	2.31145696176217	0.00391459754755393	0.00924640114306766	0.0540706139200875	0.332740791542084	0.71197288801621	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"68"	"Lachnospirales"	0.0708686088854153	0.794895085033864	-0.756428141226389	0.135025388435139	0.202471671661654	0.214358185276584	0.524853953073111	3.92595704134945	-3.52880455789629	0.652061284415655	0.0591789763438339	0.0717676638779961	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"69"	"Lactobacillales"	-0.502719502965926	1.43917711299661	0.0809501391841554	0.213921750907785	0.277284843118729	0.28505672438242	-2.35001583912163	5.19024803811718	0.28397905490402	0.051086292930226	0.00126651810448132	0.784642654651483	1	0.116519665612282	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"70"	"BD2-11 terrestrial group"	1.91185396460634	1.38427940584046	-2.38241280727916	0.0858564081778443	0.189909539555813	0.204781409646541	22.2680403848958	7.28915150380655	-11.6339310848152	0.0285697495891066	0.086796152615942	0.0545867795314152	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"71"	"Thalassobaculales"	0.426653612633957	-0.851686085041718	-1.01127088646684	0.102191210833657	0.193811072261523	0.207868184037833	4.17505193600698	-4.39441397802329	-4.86496233729923	0.149662408628914	0.142444498690886	0.129060485798893	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"72"	"Lentisphaeria"	-0.693911376747001	-0.218408038452941	0.887292837322881	0.0996169575118613	0.191690166856076	0.205683945267848	-6.96579572473268	-1.13938050154093	4.31386531490059	0.0199930978491184	0.372619401500031	0.0497594709526506	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"73"	"Latescibacterota"	-0.443144415804346	0.1936593112129	0.753165940323744	0.129232348418167	0.232763336077331	0.246549998585416	-3.42905179104562	0.83200092624794	3.05482029870226	0.180644968932092	0.558216803603215	0.201399297045901	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"74"	"Leptospirales"	-0.642225481244501	1.12452273144048	0.199087271758278	0.126985270456912	0.216391629037367	0.231007023207896	-5.05748012295976	5.19670163047894	0.861823458843971	0.00231644055385638	0.00202129062704312	0.421886921566177	0.204040427261371	0.173830993925708	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"75"	"Victivallales"	-0.288049018296378	0.435850251860254	0.872485246061651	0.0906172806005367	0.188185674651347	0.201606016766008	-3.17874268999717	2.31606498564653	4.32767464015863	0.0335755661045891	0.0814877861559312	0.0123723468987712	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"76"	"Rhodothermales"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
"77"	"Azospirillales"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"78"	"Planctomycetales"	-0.287799813299395	0.525983323102454	0.350210916781166	0.181799806617285	0.232814765990456	0.242960839936233	-1.58305896279228	2.25923523735611	1.44142947840105	0.164496543461772	0.0646159930459111	0.199547014693505	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"79"	"Coxiellales"	-0.102225853320537	-0.0951588671459997	0.0439942766177362	0.10507786877551	0.197965488869656	0.209612360712864	-0.972858076698658	-0.480684121708981	0.209883980449041	0.363033773338945	0.645400571399595	0.8397362376613	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"80"	"Peptostreptococcales-Tissierellales"	-0.133516084949416	0.806811475685198	0.0993040471577002	0.0906820562850853	0.19857256094017	0.210981077317953	-1.47235396305604	4.06305620406583	0.470677505395647	0.191346193043542	0.00662757921497766	0.654494707051059	1	0.543461495628168	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"81"	"Acholeplasmatales"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"82"	"Clostridiales"	-0.14147006098927	0.437810106820999	1.19396690198164	0.0928983445513742	0.192462924158728	0.205900797304728	-1.52284802998868	2.27477634320846	5.79874831768911	0.267240193370559	0.150742028193134	0.0284752145398361	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"83"	"Fibrobacterales"	-0.175623723205302	-0.314952477562862	1.66827510189964	0.106848836119164	0.243357065932313	0.239993239732802	-1.64366528999377	-1.29419902543723	6.951342061789	0.19879088723329	0.28621793605728	0.00610688492896658	1	1	0.574047183322858	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"84"	"Chlamydiales"	-0.47861137859043	1.65181571762297	-0.219268281894052	0.0961481265081887	0.212538510356516	0.229545814717146	-4.97785444160129	7.77184198219976	-0.955226659933843	0.00760891782297428	0.0014776768907999	0.393556051186601	0.608713425837942	0.132990920171991	1	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
"85"	"vadinHA49"	-0.512011063800954	-0.685067982179873	1.20928793579061	0.118231959562393	0.204330894573079	0.214781738404726	-4.33056396676534	-3.3527381339529	5.63031077396289	0.00749537182708983	0.0202680673761882	0.00244919606500033	0.607125117994276	1	0.242470410435033	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"86"	"Spirochaetales"	-0.182729320015915	-0.0407510750513127	0.858796591372001	0.180418443618014	0.229503157263388	0.243777367827627	-1.01280842663067	-0.177562154426246	3.52287252514453	0.332911453893663	0.862294315266965	0.00477428173388544	1	1	0.463105328186888	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
"87"	"Nitrosopumilales"	0.0783373035216673	0.84328810121639	-0.134186475157078	0.227614815412086	0.240975220931689	0.246759707776757	0.34416610087459	3.49948056051557	-0.543794107903855	0.744723454455714	0.0172940385875678	0.609942730993621	1	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
"88"	"Pla3 lineage"	-0.607380881831142	1.23251125200488	0.91869011685046	0.156371172572655	0.209562123268114	0.219666615697309	-3.88422540957116	5.88136459386797	4.18220180583277	0.0177774270934687	0.00417687394341116	0.0138935998459341	1	0.350857411246538	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
