"taxon" "lfc_(Intercept)" "lfc_typeuntreated" "se_(Intercept)" "se_typeuntreated" "W_(Intercept)" "W_typeuntreated" "p_(Intercept)" "p_typeuntreated" "q_(Intercept)" "q_typeuntreated" "diff_(Intercept)" "diff_typeuntreated"
"44" "Bacteria" -0.596130200306697 1.38741862760955 0.402854030276922 0.533474606922192 -1.47976724943503 2.60072102703083 0.138935371650375 0.00930280702164757 1 1 FALSE FALSE
"45" "Cyclobacteriaceae" -0.043401338567683 0.420143119566281 0.298112853026789 0.394942447228646 -0.145586941747134 1.06380846757412 0.884247477118482 0.28741547463884 1 1 FALSE FALSE
"46" "Bdellovibrio" 0.274043666075245 -0.135385638558843 0.18290567339245 0.242585479135694 1.49827865364923 -0.558094569556298 0.134060867741592 0.576779808619295 1 1 FALSE FALSE
"47" "Pseudomonadales" -0.721272906977603 1.60641836428364 0.471278208299205 0.623978821604654 -1.53046097671395 2.5744757813294 0.125902665632779 0.0100392114695302 1 1 FALSE FALSE
"48" "MBMPE27" -0.273327067043597 0.82251314439913 0.575956319471626 0.762440897847506 -0.474562146126538 1.07878938121134 0.635099092536779 0.280681629643399 1 1 FALSE FALSE
"49" "Propionigenium" -0.502057416276309 1.22279125555638 0.322845565388039 0.42765309812281 -1.55510085967224 2.85930643534173 0.119922050262019 0.00424568436100605 1 0.717520657010023 FALSE FALSE
"50" "Fokiniaceae" -0.0686414893280897 0.464313383396992 0.557014609619419 0.737385568812622 -0.123231039442555 0.629675169999129 0.901924146964368 0.528907131185407 1 1 FALSE FALSE
"51" "Balneola" -0.117176719753654 0.549250036641729 0.33504944333338 0.443793839073959 -0.349729635685622 1.2376242937212 0.726541610444947 0.21585540220193 1 1 FALSE FALSE
"52" "KI89A clade" -0.118890708995504 0.552249517814968 0.208814630975645 0.276847662338291 -0.569360051256998 1.99477760856132 0.569111821591904 0.0460671405471221 1 1 FALSE FALSE
"53" "Synechococcus PCC-7336" 0.279719089696157 -0.14531762989544 0.153940511238662 0.204279398049505 1.81705963846316 -0.711367035946641 0.0692079820218611 0.476856820600832 1 1 FALSE FALSE
"54" "Pseudoalteromonas" 1.46864202394056 -2.22593276482315 0.508346751580221 0.673010345818101 2.88905558927094 -3.30742726119216 0.00386400759207097 0.000941571610259044 0.649153275467923 0.164775031795333 FALSE FALSE
"55" "Marinimicrobia (SAR406 clade)" 0.0916905968546353 0.183732232577223 0.40854691990461 0.541004424026795 0.224431007523062 0.339613179518331 0.822421945478451 0.734147851650169 1 1 FALSE FALSE
"56" "Cellvibrionaceae" 0.35512668322241 -0.277280918566383 0.270940906774224 0.35900680578965 1.31071637520701 -0.772355604670201 0.189953604198478 0.439903840470312 1 1 FALSE FALSE
"57" "Stappiaceae" -0.278323245569215 0.831256456818962 0.506824430016466 0.670996717753001 -0.549151203228646 1.23883833530905 0.582901688693473 0.215405373882035 1 1 FALSE FALSE
"58" "Rhodopirellula" 0.318917005258135 -0.2139139821289 0.377006118059 0.499286691173576 0.845919973129522 -0.428439183159668 0.397597389478799 0.668331402446042 1 1 FALSE FALSE
"59" "Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium" 0.606667798082124 -0.717477869570882 0.505206552233117 0.668856695353569 1.20083121527329 -1.07269296181839 0.229816680597684 0.283408899267 1 1 FALSE FALSE
"60" "Francisellaceae" -0.276483518391377 0.828036934257745 0.512451999975269 0.678440507197015 -0.539530567555049 1.22050043515059 0.58952081097061 0.222275224685406 1 1 FALSE FALSE
"61" "Woeseia" 0.240433564361562 -0.0765679605598987 0.317503103835674 0.420587266741987 0.757263665951438 -0.182050115670454 0.448891914229535 0.855543396363354 1 1 FALSE FALSE
"62" "PS1 clade" -0.634912116535858 1.45528698101059 0.486875801262227 0.644610074139827 -1.30405354895406 2.25762370057982 0.192215325127606 0.0239691297549279 1 1 FALSE FALSE
"63" "Bradymonadales" 0.380535933513641 -0.321747106576036 0.354473812326825 0.469484710955543 1.07352340364931 -0.685319668709091 0.283036343792579 0.493142222913784 1 1 FALSE FALSE
"64" "Terasakiellaceae" 0.204604862302253 -0.0138677319561071 0.236702174990537 0.313726893437513 0.864397897106068 -0.0442031978966099 0.387369347687076 0.96474243299401 1 1 FALSE FALSE
"65" "Staphylococcus" 0.730331337541478 -0.933889063624752 0.410021619379807 0.542954969823911 1.78120202209378 -1.72001200012522 0.0748794534534736 0.0854302602949116 1 1 FALSE FALSE
"66" "Azotobacter" 0.219192189892991 -0.0393955552398997 0.489735579317817 0.648392774954995 0.447572525153916 -0.060758781963038 0.654461735473099 0.951551316869472 1 1 FALSE FALSE
"67" "Pedosphaeraceae" -0.306118964739188 0.879898965366415 0.336392354557583 0.445569973003073 -0.910005713839099 1.97477168274162 0.362819496449339 0.048294063937344 1 1 FALSE FALSE
"68" "Photobacterium" 0.499579646922066 -0.53007360504078 0.261828064840154 0.346955093054835 1.90804468278471 -1.5277873582245 0.05638544136898 0.126565342014873 1 1 FALSE FALSE
"69" "Alteromonas" 1.24542843619311 -1.8353089862651 0.423916598711059 0.561333573624879 2.93790910754591 -3.26955142628183 0.00330433883753264 0.00107718154958861 0.561737602380549 0.187429589628419 FALSE FALSE
"70" "Candidatus Amoebophilus" 0.486384406285214 -0.50698193392629 0.452455084960991 0.599081283022218 1.07498936900477 -0.846265687635391 0.28237948798758 0.397404544737866 1 1 FALSE FALSE
"71" "Coraliomargarita" 0.362114550199855 -0.289509685776911 0.444529676269973 0.588598329917531 0.814601520506663 -0.491862907285983 0.415300439832072 0.622816261788567 1 1 FALSE FALSE
"72" "Saprospiraceae" -0.0224674438656545 0.383508803837731 0.315070399646224 0.417369834236791 -0.0713092816427124 0.918870441461158 0.943151608354327 0.358163342260486 1 1 FALSE FALSE
"73" "Ekhidna" 0.153130425737853 0.0762125320315919 0.389855327782379 0.51628170993671 0.392787823649629 0.147618113453864 0.694476198695241 0.882644159249028 1 1 FALSE FALSE
"74" "Candidatus Cryptoprodotis" -0.180563874673025 0.660177557750628 0.462290176415501 0.612090232693866 -0.390585575650943 1.07856247737384 0.696103589334309 0.280782816014195 1 1 FALSE FALSE
"75" "Rickettsiales" 0.0351663306451779 0.282649698443774 0.360471692793966 0.477417656182358 0.0975564277255966 0.592038636995467 0.922284525035002 0.553824716027895 1 1 FALSE FALSE
"76" "Thalassobaculales" 0.193955277908529 0.00476904073291014 0.23635158544934 0.313263257332103 0.820621861028732 0.0152237475072101 0.411861691558795 0.98785367608529 1 1 FALSE FALSE
"77" "Comamonadaceae" -0.275055133812319 0.825537261244393 0.444532490877157 0.588602052796471 -0.618751473642741 1.40253887549701 0.536080094654713 0.160754390072447 1 1 FALSE FALSE
"78" "Acinetobacter" 0.0992163752791537 0.170562120334316 0.437296993803077 0.579031683560464 0.226885564467961 0.294564399801976 0.820512727252406 0.768326660905784 1 1 FALSE FALSE
"79" "JGI 0000069-P22" -0.558782689774944 1.32206048417899 0.255809883190753 0.338996138802419 -2.18436708857831 3.89992785419169 0.0289352845909171 9.62213563872957e-05 1 0.0170311800805513 FALSE TRUE
"80" "Xenococcus PCC-7305" 0.207712411480454 -0.0193059430179588 0.243014395776503 0.322074506134236 0.854732950353625 -0.0599424749561283 0.392699004644628 0.952201450572483 1 1 FALSE FALSE
"81" "Amoebophilaceae" 0.161547846311629 0.0614820460274848 0.201619152995717 0.267332313464048 0.801252479793227 0.229983593194592 0.422985495155394 0.818104518765832 1 1 FALSE FALSE
"82" "Desulfocapsaceae" 0.25913251245259 -0.109291119719198 0.274080815613613 0.363159360314121 0.945460235414301 -0.300945347036256 0.344423962660532 0.763456170289506 1 1 FALSE FALSE
"83" "Alphaproteobacteria" -0.096943451064831 0.51384181643629 0.295606580098502 0.391627784461048 -0.327947541061256 1.31206680635142 0.742951327100211 0.189497594564451 1 1 FALSE FALSE
"84" "Marine Methylotrophic Group 3" 0.0704506219846397 0.220902188599716 0.399363389109504 0.528857652235759 0.176407312001558 0.417696874888443 0.859973960602648 0.676168757485154 1 1 FALSE FALSE
"85" "Marine Group II" -0.0546337715826163 0.439799877342414 0.423320464573055 0.560545076209975 -0.129060076596386 0.784593239701687 0.897310112006271 0.432692094958353 1 1 FALSE FALSE
"86" "Actinomarinales" -0.0701651570526074 0.466979801914898 0.169645096845205 0.225049203377081 -0.413599675778607 2.07501201918254 0.679167310730096 0.0379854208489482 1 1 FALSE FALSE
"87" "R76-B128" 0.0862199080683832 0.193305937953165 0.317898762809821 0.421110555969678 0.271218130282448 0.459038452522391 0.786223269456382 0.646206553162393 1 1 FALSE FALSE
"88" "SCGC AAA164-E04" 0.12669081184042 0.1224818563521 0.394503776242237 0.522430021704705 0.321139668287048 0.234446435433473 0.748104550116685 0.81463841270165 1 1 FALSE FALSE
"89" "A4b" 0.327996265096211 -0.229802686845534 0.257611247193688 0.341378408971689 1.2732218358836 -0.673161163114424 0.202939334173363 0.500844765898765 1 1 FALSE FALSE
"90" "Cyanobium PCC-6307" 0.169678580684498 0.0472532608749633 0.318553069611403 0.421975927178288 0.532654043772003 0.111980939744457 0.594273083939681 0.910838519385875 1 1 FALSE FALSE
"91" "Portibacter" 0.263905198045006 -0.117643319505926 0.136510418584208 0.181222475172898 1.93322385779818 -0.649165173324594 0.053208626958005 0.516231619767177 1 1 FALSE FALSE
"92" "NB1-j" 0.131862289729108 0.113431770046897 0.25741404832135 0.341117616884126 0.512257550001677 0.332529791580445 0.608470770415425 0.739489247888935 1 1 FALSE FALSE
"93" "Chitinophagales" 0.00757184293408024 0.330940051938195 0.261310258583072 0.346270299676787 0.0289764472896616 0.955727511851576 0.976883375045217 0.339209919149362 1 1 FALSE FALSE
"94" "Rhodospirillales" 0.390482161154354 -0.339153004947284 0.239695343550995 0.317685208644811 1.62907695814825 -1.06757568724729 0.103296728367232 0.28571195554299 1 1 FALSE FALSE
"95" "Marinoscillum" -0.0506927623924886 0.43290311125969 0.246622882867967 0.326846589356771 -0.205547683990166 1.32448410158306 0.837144246891437 0.185342319699492 1 1 FALSE FALSE
"96" "Phormidesmiaceae" 0.082850061616152 0.199203169244569 0.334556235751379 0.443141523450179 0.247641660093644 0.449524945650833 0.804411674388748 0.653053016981712 1 1 FALSE FALSE
"97" "Lewinella" 0.0921090425386367 0.182999952630221 0.122054033004371 0.162088050022033 0.754657918885304 1.12901569613149 0.450454261860983 0.258891212365401 1 1 FALSE FALSE
"98" "Crocinitomix" 0.13977595289623 0.0995828595044329 0.233834290008447 0.309934273290193 0.597756440645128 0.321303153882543 0.550002459429749 0.747980666576233 1 1 FALSE FALSE
"99" "Planctomycetota" 0.345666399255067 -0.260725421623533 0.21136830082142 0.280224662352254 1.63537483109689 -0.930415686595744 0.101970495276413 0.352155899747021 1 1 FALSE FALSE
"100" "Hyphomonadaceae" 0.318402559100359 -0.213013701352794 0.183586433690329 0.243485727333209 1.73434688337286 -0.874850873954041 0.0828565535586483 0.381655051971185 1 1 FALSE FALSE
"101" "Lawsonella" 0.681010930404328 -0.84757835113474 0.228099892866362 0.302350887916638 2.98558198272945 -2.80329373918832 0.00283039257517513 0.00505835759388626 0.486827522930122 0.849804075772892 FALSE FALSE
"102" "DEV007" 0.0989557662782363 0.171018186085922 0.193180365269784 0.256172826102903 0.512245466251399 0.667589098686153 0.608479226357863 0.504395918210657 1 1 FALSE FALSE
"103" "Corynebacterium" 0.556623919936369 -0.629901082815811 0.325199685333885 0.430766621453831 1.71163732635497 -1.46227922834389 0.0869635250901724 0.143664708214689 1 1 FALSE FALSE
"104" "Alcanivorax" -0.122988533235542 0.559420710235033 0.357527153246939 0.473523130389343 -0.343997741482295 1.18140102211071 0.730847984598954 0.237443452186655 1 1 FALSE FALSE
"105" "Endozoicomonas" -0.0961344871445725 0.512426129575837 0.327675762627502 0.434041451498014 -0.293382966056776 1.18059260885635 0.769229444027515 0.237764601222083 1 1 FALSE FALSE
"106" "Micavibrionaceae" 0.112116172262983 0.147987475612615 0.223937526679372 0.296846447781251 0.500658259138085 0.498532075147717 0.61661165331583 0.618109067374728 1 1 FALSE FALSE
"107" "[Caedibacter] taeniospiralis group" -0.250582097575424 0.782709447829828 0.260009678825561 0.34455029851791 -0.96374142188583 2.2716841378361 0.335175581653663 0.0231055949244631 1 1 FALSE FALSE
"108" "OM190" 0.00217125090222659 0.340391087993939 0.200277764129495 0.265558454814514 0.0108411980314635 1.28179345007747 0.991350144908936 0.199915112494461 1 1 FALSE FALSE
"109" "Blastopirellula" 0.086896402802098 0.192122072169164 0.179504999900851 0.238088359284639 0.484089038467423 0.806936016302577 0.628322680288247 0.419703347255348 1 1 FALSE FALSE
"110" "Bacteroidia" 0.176479481961591 0.0353516836400507 0.252206299274784 0.334230483227297 0.699742561819651 0.105770375277259 0.484088091100178 0.915764542013427 1 1 FALSE FALSE
"111" "SM2D12" 0.362169903554114 -0.289606554146864 0.178536442549724 0.236807513863245 2.02854889669511 -1.22296184534968 0.0425042581602502 0.221344107631564 1 1 FALSE FALSE
"112" "Halieaceae" 0.181814226169883 0.0260158812755396 0.224430311358088 0.297498119954156 0.810114396177934 0.0874488930536725 0.417874430982431 0.930314707164059 1 1 FALSE FALSE
"113" "OM182 clade" 0.257337964493979 -0.106150660791629 0.115327373554656 0.153176042659212 2.23136933203479 -0.692997801410723 0.0256566745638835 0.488310931253858 1 1 FALSE FALSE
"114" "BD7-11" -0.00841749681278586 0.35892139649521 0.237599808078896 0.314913966591434 -0.0354272037542673 1.13974429391019 0.971739092864096 0.254392847794062 1 1 FALSE FALSE
"115" "OM27 clade" -0.450813360358818 1.13311415770077 0.310165412447263 0.410882648111364 -1.45346109613517 2.75775616933244 0.146095773787228 0.00581995919467135 1 0.971933185510115 FALSE FALSE
"116" "Bacteroidetes BD2-2" 0.348314586239716 -0.265359748846667 0.177749089011335 0.235766295011377 1.95958577440306 -1.12552029048029 0.0500442254243082 0.260368623992291 1 1 FALSE FALSE
"117" "Flavobacteriales" 0.184225842567121 0.0217955525803731 0.197918874036762 0.262439049113912 0.930814928408001 0.083049960186804 0.351949306163178 0.93381181430588 1 1 FALSE FALSE
"118" "Candidatus Megaira" 0.133033874943751 0.111381495921272 0.31153370584106 0.412692307753126 0.427028833315464 0.269889924839356 0.669358326705391 0.787244938470645 1 1 FALSE FALSE
"119" "Rothia" 0.245445568034636 -0.0853389669877786 0.287569840833961 0.380998886870909 0.85351637474513 -0.223987444395588 0.393373010955286 0.822767072967406 1 1 FALSE FALSE
"120" "BD1-7 clade" 0.271054065528213 -0.130153837601537 0.166225114968129 0.220526358570624 1.63064447619833 -0.590196285129586 0.102965358682017 0.555059062394757 1 1 FALSE FALSE
"121" "Absconditabacteriales (SR1)" 0.216281401028583 -0.0343016747271847 0.181554676690086 0.240798896859268 1.19127419338128 -0.142449467894497 0.233545961438683 0.886724991010921 1 1 FALSE FALSE
"122" "Oligoflexaceae" 0.191911685456513 0.00834532752393772 0.313613034425752 0.415442364058413 0.611937848208117 0.0200878105988351 0.540578879236283 0.983973323917854 1 1 FALSE FALSE
"123" "Pla3 lineage" 0.15363642102939 0.0753270402714021 0.204332638688009 0.270920641487368 0.751893686764231 0.278040978560559 0.452114995032718 0.78098090211673 1 1 FALSE FALSE
"124" "vadinHA49" 0.280763746053459 -0.147145778520719 0.117421522554368 0.155951512209005 2.39107567289004 -0.943535438909469 0.0167990900058823 0.345407097299176 1 1 FALSE FALSE
"125" "BD2-11 terrestrial group" 0.419593577248022 -0.390097983111204 0.142448999309793 0.189079150946754 2.94557055002896 -2.0631464715063 0.00322359623769094 0.0390987140614765 0.551234956645151 1 FALSE FALSE
"126" "Enhydrobacter" 0.165356713692877 0.054816528110301 0.236354127208255 0.313266618672963 0.699614242602917 0.174983623670185 0.484168245498513 0.861092501468316 1 1 FALSE FALSE
"127" "Flammeovirgaceae" 0.107342582416637 0.15634125784372 0.202511112527874 0.268511845132346 0.530057738939449 0.582250878975791 0.596071898949156 0.560397706971649 1 1 FALSE FALSE
"128" "BIrii41" 0.379293836438148 -0.319573436693925 0.197796811649164 0.26227763334628 1.91759327804995 -1.2184547825014 0.0551626031407363 0.223051197956014 1 1 FALSE FALSE
"129" "Ardenticatenales" 0.249570749229263 -0.0925580340783746 0.218468157759028 0.28961362488108 1.14236670363899 -0.319591435369728 0.253301625381644 0.749278067725485 1 1 FALSE FALSE
"130" "P3OB-42" 0.337414647105544 -0.246284855361867 0.197957930863378 0.262490698010863 1.70447653010888 -0.93826126879237 0.0882920971036722 0.348110158750363 1 1 FALSE FALSE
"131" "Sva0081 sediment group" 0.414079089194291 -0.380447629017175 0.15896183816035 0.210920538732998 2.60489620645048 -1.80374861216707 0.0091902095675721 0.071270725020175 1 1 FALSE FALSE
"132" "Microcystaceae" 0.232784905327629 -0.0631828072505157 0.158655995628307 0.210516044683029 1.46723043403281 -0.300132977254295 0.142313380528905 0.764075725836542 1 1 FALSE FALSE
"133" "Unknown Family_1" 0.259997955386871 -0.110805644854189 0.16139380525271 0.214136916206981 1.61095374744877 -0.517452323573607 0.107189803945349 0.604840442221028 1 1 FALSE FALSE
"134" "Pirellulaceae" 0.380848861861246 -0.322294731184345 0.247458484344098 0.327951642827708 1.53904143909515 -0.982750775100295 0.123794180015237 0.325730114116607 1 1 FALSE FALSE
"135" "Cytophagales" 0.165030620153133 0.0553871918048518 0.178957848408104 0.237364792258638 0.922175929254522 0.233342069301081 0.356436816487817 0.815495793494411 1 1 FALSE FALSE
"136" "Peredibacter" 0.320071405130879 -0.215934181906204 0.229316428151998 0.30395967625284 1.39576308470462 -0.710404039668028 0.162785850239853 0.477453618812131 1 1 FALSE FALSE
"137" "Lentimonas" -0.0426055426122192 0.418750476644219 0.220717363515801 0.292588022867522 -0.19303212911552 1.43119486758288 0.846933805868283 0.152374374099529 1 1 FALSE FALSE
"138" "PB19" 0.189727889337005 0.0121669707330761 0.273798412290945 0.362785878995313 0.692947368647979 0.0335376083732115 0.488342581444241 0.973245875544755 1 1 FALSE FALSE
"139" "Methylobacterium-Methylorubrum" 0.395122602012827 -0.347273776449613 0.167541117634654 0.222266749918418 2.35836198057629 -1.56241892490477 0.0183557841897347 0.118189331666969 1 1 FALSE FALSE
"140" "Spirochaeta 2" 0.102723729136342 0.164424251084237 0.169705736977282 0.22512939785175 0.605304988305101 0.730354421293799 0.544976367580117 0.465173570905337 1 1 FALSE FALSE
"141" "Psychrosphaera" -0.123956073118334 0.561113905029919 0.206979900638171 0.274421399097276 -0.598879759513584 2.04471628989479 0.549253069688478 0.040882836684662 1 1 FALSE FALSE
"142" "Bacteriovoracaceae" 0.295506350521871 -0.172945336340439 0.261120458075535 0.346019290598162 1.13168593797576 -0.499814146319615 0.257766495541664 0.617205948805287 1 1 FALSE FALSE
"143" "FS142-36B-02" 0.343205089529998 -0.256418129604661 0.114174543131866 0.151647648874189 3.00596858209988 -1.69088100942067 0.00264736349675974 0.0908595310023447 0.457993884939435 1 FALSE FALSE
"144" "Candidatus Nitrosopumilus" 0.313137261757988 -0.203799431003644 0.19419588912896 0.25751575932734 1.61248141329111 -0.791405665952216 0.106857221335633 0.428707304692879 1 1 FALSE FALSE
"145" "SAR324 clade(Marine group B)" 0.0917720503238699 0.183589689006063 0.201496417409149 0.267170007347319 0.455452516247583 0.687164292238079 0.648783721136458 0.491979203284191 1 1 FALSE FALSE
"146" "Aureispira" 0.107259879707726 0.156485987584314 0.180858180655845 0.239877836396868 0.593060702694069 0.652357007778805 0.55314052845012 0.514170891970693 1 1 FALSE FALSE
